Wavelength (nm),Dual-Gs,Dual-Rho
495.316,0.008010944,0.000540148
496.098,0.010302212,0.00037147
496.88,0.016501147,-0.000518888
497.661,0.028575104,-0.00089545
498.443,0.048706307,-0.001696117
499.224,0.079092446,-2.52E-03
500.006,0.115954922,-3.44E-03
500.787,0.159377368,-0.004015135
501.569,0.207441597,-4.01E-03
502.35,0.259448693,-0.00371708
503.131,0.312042268,-0.004089948
503.912,0.364039684,-0.004360166
504.693,0.416610974,-4.49E-03
505.474,0.47122129,-0.00406362
506.255,0.524010524,-0.003151977
507.035,0.57860332,-0.003385019
507.816,0.63509142,-3.93E-03
508.597,0.691938442,-5.37E-03
509.377,0.746286771,-0.006195886
510.158,0.798258329,-0.005958713
510.938,0.845988554,-0.005523146
511.718,0.889536736,-0.004754661
512.498,0.924393896,-4.29E-03
513.279,0.953867788,-0.003920949
514.059,0.975825065,-0.003868237
514.839,0.989419139,-0.004267183
515.618,0.995266991,-0.004661691
516.398,0.994843035,-0.005511185
517.178,0.98843003,-0.006128748
517.958,0.977096571,-0.006029427
518.737,0.959822433,-0.005654895
519.517,0.939028186,-0.004792638
520.296,0.913321654,-0.004142894
521.075,0.883746221,-0.003705839
521.855,0.851171879,-0.003534084
522.634,0.816084052,-0.003521877
523.413,0.780450424,-3.35E-03
524.192,0.744423991,-3.22E-03
524.971,0.709270922,-0.003303386
525.75,0.675387541,-0.003590805
526.529,0.643787398,-0.004072981
527.307,0.614946589,-0.004586784
528.086,0.588346727,-0.004600101
528.865,0.563754706,-0.004368168
529.643,0.541293173,-0.004729939
530.421,0.520241649,-0.005113349
531.2,0.500427385,-0.005077838
531.978,0.481111606,-0.004133461
532.756,0.462680883,-0.001809141
533.534,0.44534432,0.000789836
534.312,0.42915071,0.002759044
535.09,0.414252563,0.0041917
535.868,0.401373485,0.005620471
536.646,0.390079766,0.007483701
537.424,0.380013641,0.00914496
538.201,0.37046871,0.010292971
538.979,0.36147203,0.010991543
539.756,0.352822597,0.012414766
540.534,0.344903039,0.012910258
541.311,0.335814299,0.012849778
542.088,0.3226251,0.012235545
542.865,0.302198264,0.010453881
543.642,0.273112455,0.011193513
544.419,0.235171593,0.01158691
545.196,0.190479827,0.011555838
545.973,0.143279723,0.009883482
546.75,0.09876245,0.006070465
547.527,0.060903329,0.003698982
548.303,0.032308078,0.001626015
549.08,0.013463545,0.001386869
549.856,0.003429671,0.001851289
550.632,-0.000283745,0.001828539
551.409,-0.000390342,0.002144256
552.185,0.000537303,0.00227132
552.961,0.001063983,0.002745172
553.737,0.001121476,0.002902199
554.513,0.001135238,0.003053121
555.289,0.001150892,0.00293549
556.065,0.001049745,0.002906638
556.841,0.00096097,0.003797747
557.616,0.000944147,0.005033981
558.392,0.000940048,0.006034954
559.167,0.000974835,0.005975029
559.943,0.00096484,0.005337491
560.718,0.000660554,0.004434175
561.493,0.000738776,0.004137878
562.269,0.00078253,0.004686082
563.044,0.000838954,0.004875845
563.819,0.000903349,0.00510001
564.594,0.000904824,0.004928003
565.369,0.000904891,0.005723676
566.143,0.000894254,0.006746288
566.918,0.000819057,0.008895271
567.693,0.000706651,0.011680127
568.467,0.000625003,0.017338618
569.242,0.000979054,0.031206857
570.016,0.002223264,0.059761759
570.791,0.004966651,0.110002362
571.565,0.009492021,0.184920486
572.339,0.015975321,0.27756481
573.113,0.024069618,0.378257419
573.887,0.033227118,0.47979009
574.661,0.042602288,0.579703116
575.435,0.051446682,0.674863743
576.209,0.058881818,0.764854159
576.982,0.064565709,0.839207987
577.756,0.068192785,0.893261052
578.529,0.070076182,0.927728017
579.303,0.070575497,0.947051667
580.076,0.070141567,0.96191866
580.85,0.06927263,0.970158926
581.623,0.068243734,0.978221637
582.396,0.067217973,0.984471611
583.169,0.066284121,0.986868618
583.942,0.065460606,0.985164635
584.715,0.064818785,0.979564405
585.488,0.064186518,0.968289594
586.261,0.063346397,0.955900064
587.033,0.062527997,0.94354438
587.806,0.061593173,0.930279831
588.578,0.060643388,0.917460282
589.351,0.059710567,0.900584686
590.123,0.05899504,0.8839327
590.895,0.058384373,0.867388912
591.668,0.057820012,0.850528297
592.44,0.057312236,0.835480974
593.212,0.056910333,0.819158022
593.984,0.056559188,0.800683311
594.756,0.056077315,0.782759025
595.527,0.055581742,0.764549539
596.299,0.055115736,0.747542996
597.071,0.054565543,0.729717475
597.842,0.053977833,0.710429891
598.614,0.05339966,0.692585504
599.385,0.052819627,0.675034086
600.157,0.052258224,0.660068328
600.928,0.051501691,0.645088698
601.699,0.05080657,0.628820677
602.47,0.050123503,0.610966303
603.241,0.049433724,0.592151462
604.012,0.048540391,0.575608229
604.783,0.047705803,0.560145869
605.554,0.046835191,0.547759667
606.324,0.0459496,0.535390112
607.095,0.045032091,0.522468468
607.866,0.044263734,0.508353869
608.636,0.043493827,0.493920225
609.406,0.042668158,0.48209166
610.177,0.041660067,0.471539835
610.947,0.040805969,0.462175417
611.717,0.039924009,0.451733455
612.487,0.039109752,0.440516349
613.257,0.038289591,0.429081183
614.027,0.037472467,0.419535879
614.797,0.036643246,0.411114727
615.567,0.035803303,0.403745595
616.336,0.034945539,0.396843657
617.106,0.034063154,0.390879992
617.875,0.033280194,0.385624332
618.645,0.032554303,0.379912575
619.414,0.03194067,0.373770244
620.184,0.031187785,0.366842782
620.953,0.030582688,0.360550084
621.722,0.030098594,0.356089542
622.491,0.029630424,0.352298165
623.26,0.029055431,0.348365298
624.029,0.028585961,0.343676153
624.798,0.028172143,0.33859361
625.566,0.027837336,0.334276778
626.335,0.027380224,0.330500936
627.103,0.02697886,0.327383163
627.872,0.026555988,0.324332527
628.64,0.02607593,0.321799579
629.409,0.025510034,0.319468045
630.177,0.024892467,0.316900141
630.945,0.024404476,0.312860185
631.713,0.023897385,0.308037873
632.481,0.023509215,0.302087525
633.249,0.023079188,0.297231366
634.017,0.022714515,0.292982782
634.785,0.022376873,0.289611991
635.552,0.021957557,0.286627384
636.32,0.021503373,0.283482422
637.088,0.021120642,0.280945034
637.855,0.020658118,0.27716309
638.622,0.020291882,0.273100385
639.39,0.019902849,0.267582275
640.157,0.019611588,0.26095
640.924,0.019367251,0.254014216
641.691,0.019055336,0.247924597
642.458,0.018804588,0.243440751
643.225,0.018538788,0.240242522
643.992,0.018199021,0.237115316
644.758,0.017886306,0.233655192
645.525,0.017582237,0.22917634
646.292,0.01728237,0.224120985
647.058,0.017018049,0.218736597
647.825,0.016676233,0.212336255
648.591,0.016423206,0.204702453
649.357,0.016155903,0.196881108
650.123,0.015899442,0.190158391
650.889,0.015647979,0.185890941
651.655,0.015461851,0.183665942
652.421,0.015293618,0.182303199
653.187,0.015140403,0.179683137
653.953,0.01487904,0.175111067
654.719,0.014611191,0.169660651
655.484,0.014358758,0.163536076
656.25,0.01420904,0.158458527
657.015,0.014046218,0.153832081
657.781,0.013860067,0.1502399
658.546,0.013659503,0.14767144
659.311,0.01351077,0.145747731
660.076,0.013214,0.143615393
660.841,0.013013869,0.13974467
661.606,0.012757561,0.134545052
662.371,0.012607773,0.129370956
663.136,0.012462239,0.125649492
663.901,0.012284124,0.123359573
664.665,0.011980664,0.121061332
665.43,0.011834579,0.117944113
666.195,0.011645227,0.114014575
666.959,0.01148447,0.110674856
667.723,0.011235851,0.107732974
668.488,0.011046194,0.105174501
669.252,0.010829224,0.10239242
670.016,0.010658815,0.099768474
670.78,0.010445931,0.097441379
671.544,0.010321294,0.095190301
672.308,0.010222212,0.093001368
673.071,0.010048391,0.090654853
673.835,0.009926921,0.08977595
674.599,0.009792325,0.089192235
675.362,0.009648403,0.089695495
676.126,0.009499994,0.088612958
676.889,0.009418585,0.086422915
677.652,0.009246503,0.0831864
678.416,0.009118785,0.079582566
679.179,0.008950754,0.077490734
679.942,0.008821728,0.075459936
680.705,0.008725231,0.074748047
681.468,0.00853414,0.073055161
682.231,0.008320234,0.071169738
682.993,0.008177524,0.068842643
683.756,0.008038894,0.066993841
684.518,0.007888058,0.066212594
685.281,0.007795612,0.064828766
686.043,0.007671212,0.064054733
686.806,0.007579094,0.062328
687.568,0.007382506,0.061521229
688.33,0.007227409,0.061424683
689.092,0.007083546,0.061248792
689.854,0.0069407,0.060959708
690.616,0.006772606,0.059452701
691.378,0.006654145,0.058539397
692.14,0.006504091,0.058214247
692.902,0.00640974,0.057576155
693.663,0.006340585,0.056333817
694.425,0.006295612,0.054339086
695.186,0.006233525,0.051696274
695.948,0.006081409,0.049734834
696.709,0.005952449,0.048243918
697.47,0.005815303,0.046775751
698.231,0.005703203,0.045955664
698.992,0.005486891,0.04462011
699.753,0.005361439,0.043922647
700.514,0.005296285,0.042701949
701.275,0.005215924,0.041557822
702.036,0.005110124,0.041289269
702.796,0.005018539,0.041260416
703.557,0.004905237,0.041491238
704.317,0.004771497,0.040843714
705.078,0.004463324,0.03909978
705.838,0.004189158,0.036820959
706.598,0.003816564,0.034162057
707.358,0.003349119,0.031477631
708.119,0.00281253,0.028390929
708.879,0.002250161,0.024703311
709.638,0.001709236,0.020770444
710.398,0.001246794,0.017012359
711.158,0.000832458,0.013789161
711.918,0.000578803,0.010819535
712.677,0.000429337,0.008105147
713.437,0.000361106,0.005831319
714.196,0.000352427,0.004693296
714.956,0.00033903,0.004197249
715.715,0.000278072,0.004362598
716.474,0.000246269,0.004133439
717.233,0.000178651,0.003777217
717.992,0.000162018,0.003194611
718.751,0.000168215,0.00257261
719.51,0.000151001,0.002082666
720.269,0.000169476,0.001506719
721.028,0.000130751,0.001353022
721.786,6.06E-05,0.001334156
722.545,4.67E-05,0.00134137
723.303,2.68E-05,0.00109612
724.062,7.11606E-05,0.000843658
724.82,0.000103202,0.000691625
725.578,0.000117695,7.85E-04
726.336,0.000121371,0.000682795
727.095,0.000142533,0.000512452
727.853,0.000127359,4.25E-04
728.61,0.000162162,0.000657224
729.368,0.000172219,0.0012992
730.126,0.000176004,0.00142127
730.884,0.000175063,0.001007342
731.641,0.000117181,2.91193E-05
732.399,7.88662E-05,-0.000987944
733.156,2.88E-05,-0.001285981
733.914,-1.34E-05,-0.001032964
734.671,3.69E-05,-8.02645E-05
735.428,5.34E-05,5.97E-04
736.185,0.000087612,0.000847904
736.942,0.000165013,0.000664245
737.699,0.000178863,2.26E-04
738.456,0.000203901,-1.01E-04
739.213,0.000164455,-0.000340974
739.969,0.000149282,-0.000368052
740.726,0.000119524,-0.000385808
741.483,8.93473E-05,-0.000171076
742.239,0.000070112,1.37E-05
742.995,0.000121568,0.000206675
743.752,0.000143224,-4.35679E-05
744.508,0.000208545,-0.000473032
745.264,0.000275388,-1.15E-03
746.02,0.000251469,-0.001607726
746.776,0.000197487,-0.001937869
747.532,0.000130435,-0.001831891
748.288,8.88776E-05,-0.001236523
749.043,6.09E-05,-0.000546158
749.799,6.21E-05,7.52885E-05
750.555,0.000111501,-0.000102158
751.31,0.000181266,-9.07E-04
752.066,0.000185531,-1.88E-03
752.821,0.000211414,-2.40E-03
753.576,0.000243302,-0.001820793
754.331,0.000311343,-0.000382589
755.086,0.000328854,0.001129412
755.841,0.000334833,0.002213614
756.596,0.000312921,0.002132604
757.351,0.000345573,0.001459
758.106,0.000300329,0.000966282
758.861,0.000251483,0.001207648
759.615,0.000214664,2.18E-03
760.37,0.000180158,0.002581488
761.124,0.000150661,0.002433361
761.878,0.000097846,0.001886376
762.633,0.000084231,0.001078563
763.387,0.000144043,6.45E-04
764.141,0.000175833,2.82E-05
764.895,0.000210165,-3.79E-04
765.649,0.000183034,-4.61E-04
766.403,0.000184301,-0.000242029
767.157,0.0001431,5.33E-04
767.91,0.00011404,4.42E-04
768.664,0.000074452,-5.28E-05
769.417,4.14E-05,-7.07E-04
770.171,6.00E-06,-1.04E-03
770.924,-2.20E-05,-5.95E-04
771.677,-3.66E-05,-5.32E-05
772.431,-1.21E-05,7.07E-04
773.184,-2.22E-05,1.04E-03
773.937,4.05E-05,1.09E-03
774.69,6.37E-05,6.10E-04
775.443,6.68E-05,-2.72E-04
776.196,2.69E-05,-8.47E-04
776.948,5.33E-05,-1.03E-03
777.701,5.22E-05,-6.38E-04
778.453,4.28E-05,-4.73E-04
779.206,7.57624E-05,-3.97E-04
779.958,0.000125493,-3.85E-04
780.711,0.000141107,2.72E-04
781.463,0.000136656,1.05E-03
782.215,9.12254E-05,1.41E-03
782.967,7.90867E-05,1.19E-03
783.719,1.18E-05,3.12E-04
784.471,2.59E-05,-4.09E-04
785.223,7.90146E-05,-1.13E-03
785.975,0.000113217,-1.40E-03
786.726,0.000176986,-1.52E-03
787.478,0.000171875,-1.42E-03
788.229,0.000181266,-7.98E-04
788.981,0.000126757,-4.86E-04
789.732,0.000108637,-3.35E-04
790.483,0.000150084,-7.06E-04
791.234,0.000122989,-1.09E-03
791.986,0.000115257,-1.84E-03
792.737,0.000136689,-2.33E-03
793.487,0.000133754,-2.39E-03
794.238,0.000151663,-2.44E-03
794.989,8.75875E-05,-2.14E-03
795.74,0.000121198,-1.81E-03
796.49,0.000114281,-1.03E-03
797.241,5.67E-05,-5.91E-04
797.991,2.95E-05,-1.81E-04
798.742,-2.06E-05,2.24E-04
799.492,-2.41E-05,6.58E-04
800.242,-3.77E-05,8.90E-04
800.992,-4.10E-05,1.01E-03
801.742,3.48E-05,5.73E-04
802.492,3.73E-05,-8.38E-05
803.242,4.76E-05,-4.36E-04
803.992,8.93179E-05,-6.61E-04
804.742,0.000097041,-6.52E-04
805.491,0.000106206,-9.65E-04
806.241,0.000105086,-1.18E-03
